52529573,,460327,21434920,MAIN,33586228,,,,,,,,,7168207,qualitative,,6089100,,,In Vitro (Efficacy),,,,insecticidal,insecticide,1806758,,,,,Myzus persicae,,,,,,,,,,,Myzus persicae,,,100 effect; synergism was observed,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529574,,460327,21434921,MAIN,33586229,,,,,,,,,7168207,qualitative,,6089100,,,In Vitro (Efficacy),,,,insecticidal,insecticide,1806758,,,,,Myzus persicae,,,,,,,,,,,Myzus persicae,,,75 effect; synergism was observed,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529575,,460327,21434919,MAIN,33586227,,,,,,,,,7168208,qualitative,,6089102,,,In Vitro (Efficacy),,,,insecticidal,insecticide,1806761,,,,,Megoura viciae,,,,,,,,,,,Megoura viciae,,,100 effect; synergism was observed,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529576,,460327,21434921,MAIN,33586229,,,,,,,,,7168208,qualitative,,6089102,,,In Vitro (Efficacy),,,,insecticidal,insecticide,1806761,,,,,Megoura viciae,,,,,,,,,,,Megoura viciae,,,75 effect; synergism was observed,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529577,,460327,21434920,MAIN,33586228,,,,,,,,,7168209,qualitative,,6089101,,,In Vitro (Efficacy),,,,insecticidal,insecticide,,,,,,,,,,,,,,,,,,,,100 effect; synergism was observed,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529578,,460327,21434922,MAIN,33586226,,,,,,,,,7168209,qualitative,,6089101,,,In Vitro (Efficacy),,,,insecticidal,insecticide,,,,,,,,,,,,,,,,,,,,100 effect; synergism was observed,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529579,,380058,21434927,MAIN,5764632,1586978,intravenous administration,,,,,,,7168213,qualitative,,6089106,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : tumor cell proliferation; decrease in,antineoplastic agent,,,,,,,,,,,,,,,,,,,,nano lipid-entrapped title compound decreased tumor cell proliferation (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529580,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168213,qualitative,,6089106,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : tumor cell proliferation; decrease in,antineoplastic agent,,,,,,,,,,,,,,,,,,,,title compound loaded in nanocores decreased tumor cell proliferation (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529581,,380058,21434927,MAIN,5764632,1586978,intravenous administration,,,,,,,7168211,qualitative,,6089104,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : tumor neovasculature; inhibition of,antiangiogenic agent,,,,,,,,,,,,,,,,,,,,nano lipid-micellar title compound reduced tumor vessel density and collapsed the vasculature,,,,,,,,,,2018/11/16,,,2018/11/22,
52529582,,380058,21434927,MAIN,5764632,1586978,intravenous administration,,,,,,,7168210,qualitative,,6089103,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : apoptosis of tumor cells; induction of  ,,,,,,,,,,,,,,,,,,,,,nano lipid-micellar title compound induced apoptosis of tumor cells (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529583,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168210,qualitative,,6089103,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : apoptosis of tumor cells; induction of  ,,,,,,,,,,,,,,,,,,,,,title compound loaded in nanocores induced apoptosis of tumor cells (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529584,,380058,21434927,MAIN,5764632,1586978,intravenous administration,,,,,,,7168212,qualitative,,6089105,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : metastasis; inhibition of  ,,,,,,,,,,,,,,,,,,,,,nano lipid-micellar title compound inhibited liver and lung metastasis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529585,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168212,qualitative,,6089105,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : metastasis; inhibition of  ,,,,,,,,,,,,,,,,,,,,,title compound loaded in nanocores inhibited liver and lung metastasis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529586,,380058,21434926,MAIN,5764632,1586978,,,,,,,,7168219,qualitative,,6089112,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : VEGF- induced tumor angiogenesis; inhibition of,antineoplastic agent,,,,,,,,,,,,,,,,,,,,title compound inhibited VEGF- induced tumor angiogenesis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529587,,380058,21434925,MAIN,30233,1416111,,,,Withdrawn,,,,7168219,qualitative,,6089112,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : VEGF- induced tumor angiogenesis; inhibition of,antineoplastic agent,,,,,,,,,,,,,,,,,,,,title compound inhibited VEGF- induced tumor angiogenesis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529588,,380058,21434928,MAIN,8638800,280457,,,,Discontinued (Phase III),,,,7168219,qualitative,,6089112,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : VEGF- induced tumor angiogenesis; inhibition of,antineoplastic agent,,,,,,,,,,,,,,,,,,,,title compound inhibited VEGF- induced tumor angiogenesis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
